data,id_aluno_anonimo,dia_semana,servida
2025-02-20,de2191ca835f,Quinta-feira,1
2025-02-20,2a22f48c531e,Quinta-feira,1
2025-02-20,7513ec5884be,Quinta-feira,1
2025-02-20,0b7c89f1b49a,Quinta-feira,1
2025-02-20,a68fe0403fa5,Quinta-feira,1
2025-02-20,37c36f612b80,Quinta-feira,1
2025-02-20,7d8672f9c5ba,Quinta-feira,1
2025-02-20,49bc71388ba8,Quinta-feira,1
2025-02-20,46b817512975,Quinta-feira,1
2025-02-20,d43c1b4d5f48,Quinta-feira,1
2025-02-20,b533d190a8db,Quinta-feira,1
2025-02-20,6ffc8e8f2a96,Quinta-feira,1
2025-02-20,51613989a44d,Quinta-feira,1
2025-02-20,3eb8847a2ddd,Quinta-feira,1
2025-02-20,36a6ba66bcdb,Quinta-feira,1
2025-02-20,99f8e69a8ce5,Quinta-feira,1
2025-02-20,14fd70902b6d,Quinta-feira,1
2025-02-20,82a20e4f739f,Quinta-feira,1
2025-02-20,7d186ed0a704,Quinta-feira,1
2025-02-20,7bfabf2e81b6,Quinta-feira,1
2025-02-20,589505b2bb0c,Quinta-feira,1
2025-02-20,fc6d6e7ec3f7,Quinta-feira,1
2025-02-20,bd3acd0cb3d8,Quinta-feira,1
2025-02-20,11378dad2814,Quinta-feira,1
2025-02-20,882e13e14ee1,Quinta-feira,1
2025-02-20,f5a842dc5642,Quinta-feira,1
2025-02-20,2cb319d4a66d,Quinta-feira,1
2025-02-20,725032e7bb70,Quinta-feira,1
2025-02-20,2254d98be549,Quinta-feira,1
2025-02-20,fdf6171b69f3,Quinta-feira,1
2025-02-20,3a8d2c066871,Quinta-feira,1
2025-02-20,1b568ac690ed,Quinta-feira,1
2025-02-20,6271d49142ae,Quinta-feira,1
2025-02-20,f728a8f88c37,Quinta-feira,1
2025-02-20,4eb9aa39efe5,Quinta-feira,1
2025-02-20,583b698fc11e,Quinta-feira,1
2025-02-20,9d46cfe9afd3,Quinta-feira,1
2025-02-20,f158428f41da,Quinta-feira,1
2025-02-20,e8011f9b6da2,Quinta-feira,1
2025-02-20,38b2ed4da376,Quinta-feira,1
2025-02-20,a2a66182c619,Quinta-feira,1
